,Mortality_Rate,Reduction_in_Life_Expectancy,Disease_Category,dwlow,dwup,dwsd,dwtype,durlow,durhigh,dursd,durtype,probillinf,endpoint
Acanthamoeba,0,0,Eye_Infection,0.031,0.184,0.03825,Normal,0.019,0.038,0.000104212,Uniform,1,Death
Adenovirus12357,0,0,Respiratory,0.006,0.113,0.02675,Normal_(Long_tails?),0.019,0.038,0.00475,Normal_(Tends_Low),0.45,Infection
Adenovirus4041,0,0,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.11,0.02275,Uniform,0.45,
Ascaris_Lumbericodes,0.06,37.5,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.25,0.05775,Normal,0.15,
Bacillus_anthracis,0.01,37.5,Dermal,0.006,0.133,0.03175,Normal,0.019,0.038,0.00475,Normal,1,Death
Bortadella_pertussis,0.013,37.5,Respiratory,0.006,0.113,0.02675,Normal_(Long_tails?),0.019,0.038,0.00475,Normal,0.5,
Campylobacter_jejuni,0.0024,37.5,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.038,0.00475,Normal,0.426,Infection
Coronavirus,0.000613,15,Respiratory,0.006,0.113,0.02675,Normal_,0.019,0.038,0.00475,Normal,0.56,
Coxiella_burnetii,0.01,37.5,Respiratory,0.006,0.113,0.02675,Normal_,0.019,0.038,0.00475,Normal,0.4,Death
Coxsachieviruses,0.017,37.5,Respiratory,0.006,0.113,0.02675,Normal_,0.019,0.038,0.00475,Normal,0.873,
Cryptosporidium_parvum,0.001,70,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.038,0.00475,Normal,0.714,Infection
Ebolavirus,0.5,37.5,Blood/Diarrhea,0.088,0.19,0.0255,Normal,0.019,0.038,0.00475,Normal,1,
Echovirus,0.06,70,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.027,0.002,Normal,0.3,Infection
Elizabethkingia_spp.,0.4,60,Respiratory,0.006,0.113,0.02675,Normal_,0.019,0.038,0.00475,Normal,1,
Enterovirus,0.017,70,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.038,0.00475,Normal,0.1,Infection
Escherichia_coli,0.078815,50,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.027,0.002,Normal,,
STEC,0.00008,50,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.027,0.002,Normal,0.1875,Infection
EIEC,0.015,50,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.027,0.002,Normal,0.3,(This_is_a_crazy_small_sample_but_I_can't_find_better_data)
EPEC,0.3,50,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.027,0.002,Normal,0.42,
ETEC,0.00018,50,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.027,0.002,Normal,0.17,
Francisella_tularensis,0.015,37.5,Respiratory_and_Lymphatic,0.006,0.113,0.02675,Normal_,0.058,0.12,0.0155,Normal,0.156,
Giardia_duodenalis,0.0025,37.5,Diarrheal,0.074,0.247,0.04325,Normal,0.058,0.12,0.0155,Normal,0.5,Infection
Influenza,0.00065,15,Respiratory,0.006,0.113,0.02675,Normal_,0.019,0.038,0.00475,Normal,0.191,Infection
Lassa_virus,0.015,37.5,Diarrheal,0.074,0.247,0.04325,Normal,0.019,0.077,0.0145,Normal,0.2,Death
Legionella_pneumophila,0.005,37.5,Respiratory,0.006,0.06265,0.0141625,Normal,0.019,0.027,0.002,Normal,0.36635,#VALUE!
